58,28,115,116,91,84,58
59,38,178,131,57,158,201
40,33,75,119,173,135,180
211,196,76,32,119,29,116
57,31,57,89,21,96,97
32,25,48,22,33,121,66
145,24,174,186,191,130,174
96,168,57,81,36,35,87
182,159,113,64,90,67,65
81,104,112,60,91,22,101
112,110,129,70,56,78,36
158,69,33,61,205,26,167
58,27,98,45,37,126,128
117,146,93,106,159,214,189
37,21,101,69,81,85,63
104,66,21,37,107,37,75
167,23,149,149,96,21,42
74,121,29,122,122,176,132
187,89,201,73,30,211,209
23,21,83,50,100,105,29
80,62,75,61,31,52,99
77,89,160,125,155,63,34
116,63,169,144,42,133,177
187,22,111,219,143,21,205
92,103,89,70,109,48,80
98,120,130,89,24,58,47
143,33,33,192,137,116,143
59,55,120,80,38,178,24
32,207,78,25,76,39,174
115,108,69,113,21,21,50
67,114,125,104,129,63,49
50,76,23,197,33,109,147
169,38,139,147,95,169,112
212,145,124,182,27,163,220
34,30,81,39,35,70,102
113,57,123,28,117,95,32
65,204,175,86,57,33,195
128,130,162,40,142,146,91
201,145,160,166,72,51,107
73,45,116,120,118,112,27
73,120,54,56,85,89,36
68,139,30,23,192,95,202
106,67,56,132,52,165,28
49,119,25,180,187,183,40
76,35,21,57,101,31,111
108,72,99,25,50,57,35
183,26,30,191,150,121,206
152,21,85,41,82,105,72
197,164,197,219,23,200,210
70,106,96,22,67,114,24
122,44,21,28,116,63,44
26,181,58,34,114,193,40
94,150,32,147,174,40,58
172,33,216,187,214,125,219
64,71,40,50,98,22,104
62,125,27,85,35,84,123
93,23,151,196,121,140,124
67,173,122,97,164,27,59
181,26,148,206,201,132,132
115,88,27,31,57,28,61
89,90,32,94,112,116,41
54,121,37,37,198,191,92
144,57,141,47,116,162,59
24,178,36,220,203,75,155
29,67,38,25,53,112,104
31,76,115,31,31,76,72
27,104,200,28,191,105,207
33,70,170,169,59,138,176
75,207,219,26,161,179,40
58,25,103,63,95,100,33
77,91,24,39,113,45,37
177,110,72,202,190,27,25
83,21,169,123,116,23,130
207,125,214,67,39,152,43
68,113,26,49,31,61,104
46,102,99,41,24,99,32
92,200,33,144,73,180,198
61,139,160,41,163,54,119
86,144,53,215,140,29,64
52,21,78,114,87,46,84
22,116,84,58,97,125,49
57,205,173,99,72,200,77
169,156,34,159,146,30,37
145,201,56,219,177,98,211
120,115,96,66,49,72,92
128,129,109,100,108,50,42
135,208,208,160,39,84,28
68,174,110,41,72,150,106
205,176,113,128,142,215,173
117,48,105,26,52,22,42
90,27,35,97,115,42,125
37,201,171,31,83,208,41
166,40,174,161,136,69,33
204,181,146,193,142,35,29
68,89,87,37,66,35,108
41,31,129,61,27,67,88
35,152,123,54,93,24,86
153,158,95,35,95,59,29
102,117,210,149,96,37,207
113,108,30,111,64,103,75
