48,82,38,26
57,112,57,123
176,130,145,177
106,86,206,125
23,104,63,106
59,21,130,96
202,148,208,148
31,108,147,29
36,177,155,188
91,119,42,102
31,37,79,114
105,104,45,39
102,75,152,124
218,34,208,95
39,106,111,91
60,51,40,22
161,86,204,178
128,112,31,167
105,178,94,81
103,112,111,70
122,58,21,21
27,95,208,164
92,27,113,168
81,189,63,31
47,110,27,88
108,25,106,30
110,85,42,190
66,47,131,66
122,25,80,212
71,27,112,36
114,31,24,30
29,48,115,23
50,123,39,55
97,205,118,62
120,101,60,27
45,65,66,128
123,208,33,31
92,135,95,70
91,35,25,148
51,104,40,109
73,26,130,69
117,189,151,142
79,113,107,46
171,173,62,192
113,69,32,63
34,76,119,30
128,29,119,30
62,55,131,74
65,218,151,39
118,69,23,23
78,56,119,38
110,192,24,111
76,172,157,82
217,101,51,34
70,104,120,83
128,92,124,21
62,82,115,32
21,175,173,102
118,112,101,187
112,105,103,24
126,24,107,118
171,31,162,146
173,178,84,96
209,204,187,124
83,118,36,107
29,111,121,113
44,80,38,169
145,167,168,107
209,217,73,210
102,104,47,103
86,116,26,47
179,29,75,195
110,135,142,120
60,103,60,67
58,115,40,33
122,67,21,130
207,85,79,129
60,131,72,76
58,175,151,191
70,35,112,34
52,39,28,107
163,88,174,191
97,167,61,35
194,78,82,39
84,40,119,110
112,22,23,87
208,59,184,65
50,157,171,179
28,133,35,32
69,27,94,80
129,32,115,110
133,202,201,186
39,66,37,31
147,69,213,161
74,77,60,31
80,120,99,30
205,141,203,28
75,137,57,65
22,78,21,212
73,44,82,118
