175,29,41,125
127,170,100,213
228,22,230,182
120,68,213,223
74,115,26,25
172,36,31,54
251,249,34,188
143,161,52,86
39,144,32,88
188,176,97,40
36,57,176,175
164,88,189,112
48,221,134,229
46,23,202,126
154,188,48,166
166,79,125,174
235,253,126,257
124,178,167,208
257,195,198,105
51,181,149,160
73,81,147,172
84,88,154,155
34,170,206,228
196,77,248,256
28,126,23,44
169,98,98,34
185,34,37,22
26,118,178,151
190,69,48,242
127,164,166,123
177,69,42,160
30,117,167,56
218,146,141,21
100,249,69,211
36,97,134,68
146,100,122,70
35,22,25,55
128,76,216,35
53,92,35,41
115,37,33,57
50,59,24,70
175,92,78,122
226,23,172,213
209,187,82,95
62,22,110,198
83,48,98,162
23,33,138,126
73,39,49,105
70,250,63,112
23,144,199,150
138,46,176,176
70,149,108,225
133,140,104,227
153,197,23,144
116,198,24,140
155,43,34,146
73,101,249,253
27,93,123,117
71,214,253,63
132,189,89,30
119,108,67,171
204,241,258,213
204,81,116,169
250,76,247,254
123,28,148,187
30,85,22,141
84,101,136,121
217,134,220,225
104,48,232,165
122,66,198,175
149,21,105,170
40,167,204,120
215,225,174,78
37,25,155,90
139,30,83,191
164,98,152,81
106,119,253,50
52,209,217,31
176,251,256,182
145,114,193,34
168,45,162,50
58,205,88,33
21,154,166,166
123,48,75,193
194,171,132,99
38,168,79,118
120,232,173,55
51,125,69,105
137,38,51,96
111,163,25,195
164,22,113,74
25,40,199,225
214,217,33,175
254,75,222,140
100,174,21,123
131,94,37,46
97,183,135,108
158,141,136,99
166,38,215,183
159,76,125,144
